user_id,order_id,action,time
1,1,create_order,24/08/22 01:52
2,2,create_order,24/08/22 06:37
3,3,create_order,24/08/22 07:35
4,4,create_order,24/08/22 10:39
5,5,create_order,24/08/22 12:34
6,6,create_order,24/08/22 13:46
7,7,create_order,24/08/22 13:59
8,8,create_order,24/08/22 14:03
7,7,cancel_order,24/08/22 14:06
9,9,create_order,24/08/22 14:45
10,10,create_order,24/08/22 15:09
11,11,create_order,24/08/22 15:54
12,12,create_order,24/08/22 16:22
13,13,create_order,24/08/22 16:39
13,13,cancel_order,24/08/22 16:45
14,14,create_order,24/08/22 17:16
15,15,create_order,24/08/22 17:17
16,16,create_order,24/08/22 17:31
17,17,create_order,24/08/22 17:32
18,18,create_order,24/08/22 17:38
19,19,create_order,24/08/22 17:42
20,20,create_order,24/08/22 17:48
21,21,create_order,24/08/22 17:57
22,22,create_order,24/08/22 18:05
23,23,create_order,24/08/22 18:13
24,24,create_order,24/08/22 18:20
25,25,create_order,24/08/22 18:38
26,26,create_order,24/08/22 18:42
27,27,create_order,24/08/22 18:46
28,28,create_order,24/08/22 18:50
29,29,create_order,24/08/22 18:55
30,30,create_order,24/08/22 18:57
31,31,create_order,24/08/22 18:58
32,32,create_order,24/08/22 18:59
33,33,create_order,24/08/22 19:02
34,34,create_order,24/08/22 19:04
35,35,create_order,24/08/22 19:05
36,36,create_order,24/08/22 19:12
37,37,create_order,24/08/22 19:15
38,38,create_order,24/08/22 19:17
39,39,create_order,24/08/22 19:17
40,40,create_order,24/08/22 19:19
41,41,create_order,24/08/22 19:25
40,40,cancel_order,24/08/22 19:25
42,42,create_order,24/08/22 19:25
43,43,create_order,24/08/22 19:29
44,45,create_order,24/08/22 19:35
45,44,create_order,24/08/22 19:35
46,46,create_order,24/08/22 19:37
47,47,create_order,24/08/22 19:44
48,48,create_order,24/08/22 19:50
49,49,create_order,24/08/22 19:56
50,50,create_order,24/08/22 20:04
51,51,create_order,24/08/22 20:06
52,52,create_order,24/08/22 20:08
53,53,create_order,24/08/22 20:08
54,54,create_order,24/08/22 20:08
55,55,create_order,24/08/22 20:14
52,52,cancel_order,24/08/22 20:15
56,56,create_order,24/08/22 20:16
57,57,create_order,24/08/22 20:23
58,58,create_order,24/08/22 20:25
59,59,create_order,24/08/22 20:27
60,60,create_order,24/08/22 20:30
61,61,create_order,24/08/22 20:30
62,62,create_order,24/08/22 20:32
63,63,create_order,24/08/22 20:34
64,64,create_order,24/08/22 20:34
64,64,cancel_order,24/08/22 20:39
65,65,create_order,24/08/22 20:41
66,66,create_order,24/08/22 20:47
67,67,create_order,24/08/22 20:55
68,68,create_order,24/08/22 20:58
69,69,create_order,24/08/22 20:58
70,70,create_order,24/08/22 20:59
71,71,create_order,24/08/22 21:00
72,72,create_order,24/08/22 21:01
73,73,create_order,24/08/22 21:06
74,74,create_order,24/08/22 21:07
75,75,create_order,24/08/22 21:09
53,76,create_order,24/08/22 21:11
76,77,create_order,24/08/22 21:15
77,78,create_order,24/08/22 21:16
78,79,create_order,24/08/22 21:17
78,79,cancel_order,24/08/22 21:25
79,80,create_order,24/08/22 21:25
80,81,create_order,24/08/22 21:26
81,82,create_order,24/08/22 21:26
82,83,create_order,24/08/22 21:28
83,84,create_order,24/08/22 21:29
84,85,create_order,24/08/22 21:30
85,86,create_order,24/08/22 21:33
86,87,create_order,24/08/22 21:36
87,88,create_order,24/08/22 21:36
88,89,create_order,24/08/22 21:36
89,90,create_order,24/08/22 21:48
90,91,create_order,24/08/22 21:48
91,92,create_order,24/08/22 21:50
92,93,create_order,24/08/22 21:51
93,94,create_order,24/08/22 21:51
91,95,create_order,24/08/22 21:51
94,96,create_order,24/08/22 21:52
95,97,create_order,24/08/22 21:52
91,98,create_order,24/08/22 21:53
96,99,create_order,24/08/22 21:54
89,90,cancel_order,24/08/22 21:54
97,100,create_order,24/08/22 21:55
98,101,create_order,24/08/22 21:57
99,102,create_order,24/08/22 22:00
100,103,create_order,24/08/22 22:00
101,104,create_order,24/08/22 22:01
102,105,create_order,24/08/22 22:03
99,106,create_order,24/08/22 22:03
100,107,create_order,24/08/22 22:04
103,108,create_order,24/08/22 22:05
104,109,create_order,24/08/22 22:09
105,110,create_order,24/08/22 22:12
106,111,create_order,24/08/22 22:18
107,112,create_order,24/08/22 22:30
108,113,create_order,24/08/22 22:31
67,114,create_order,24/08/22 22:32
109,115,create_order,24/08/22 22:36
110,116,create_order,24/08/22 22:37
111,117,create_order,24/08/22 22:43
32,118,create_order,24/08/22 22:52
112,119,create_order,24/08/22 22:53
113,120,create_order,24/08/22 22:53
114,121,create_order,24/08/22 22:54
115,122,create_order,24/08/22 22:57
116,123,create_order,24/08/22 22:59
117,124,create_order,24/08/22 23:02
118,125,create_order,24/08/22 23:07
119,126,create_order,24/08/22 23:11
120,127,create_order,24/08/22 23:12
121,128,create_order,24/08/22 23:15
60,129,create_order,24/08/22 23:15
54,130,create_order,24/08/22 23:17
59,131,create_order,24/08/22 23:18
59,132,create_order,24/08/22 23:19
122,133,create_order,24/08/22 23:21
123,134,create_order,24/08/22 23:26
124,135,create_order,24/08/22 23:31
125,136,create_order,24/08/22 23:33
126,137,create_order,24/08/22 23:33
127,138,create_order,24/08/22 23:39
128,139,create_order,24/08/22 23:39
129,140,create_order,24/08/22 23:40
130,141,create_order,24/08/22 23:43
131,142,create_order,24/08/22 23:45
132,143,create_order,24/08/22 23:46
132,144,create_order,24/08/22 23:49
132,143,cancel_order,24/08/22 23:52
133,145,create_order,24/08/22 23:55
134,146,create_order,24/08/22 23:58
135,147,create_order,25/08/22 00:01
136,148,create_order,25/08/22 00:02
137,149,create_order,25/08/22 00:04
138,150,create_order,25/08/22 00:07
139,151,create_order,25/08/22 00:07
140,152,create_order,25/08/22 00:08
141,153,create_order,25/08/22 00:09
142,154,create_order,25/08/22 00:12
143,155,create_order,25/08/22 00:14
144,156,create_order,25/08/22 00:15
145,157,create_order,25/08/22 00:15
146,158,create_order,25/08/22 00:16
147,159,create_order,25/08/22 00:17
148,160,create_order,25/08/22 00:18
144,156,cancel_order,25/08/22 00:21
149,161,create_order,25/08/22 00:22
150,162,create_order,25/08/22 00:24
151,163,create_order,25/08/22 00:24
152,164,create_order,25/08/22 00:25
152,165,create_order,25/08/22 00:25
153,166,create_order,25/08/22 00:25
154,167,create_order,25/08/22 00:25
155,168,create_order,25/08/22 00:26
154,169,create_order,25/08/22 00:26
156,170,create_order,25/08/22 00:26
156,171,create_order,25/08/22 00:26
157,172,create_order,25/08/22 00:27
158,173,create_order,25/08/22 00:28
154,174,create_order,25/08/22 00:29
