user_id,birth_date,sex
10597,24/05/91,male
4521,21/07/94,female
5778,09/01/92,male
8636,05/05/97,female
15773,16/08/90,male
2181,20/11/96,female
837,02/09/92,female
632,06/01/93,male
11407,23/11/94,female
4744,28/10/84,male
8201,28/04/94,male
21402,24/05/91,female
4057,08/09/89,female
3389,06/01/96,female
16146,04/01/89,male
16746,08/01/93,female
15544,30/11/89,female
19076,10/03/95,male
3455,04/07/95,female
5867,17/05/89,male
10352,25/04/91,female
6275,22/04/92,male
6267,07/12/90,male
4403,30/03/91,male
185,06/11/95,male
17719,30/09/98,female
5055,16/04/97,male
9950,01/08/97,female
16056,05/10/98,male
13158,17/06/94,female
6488,18/02/94,female
1835,17/10/92,male
10180,06/02/92,male
15978,27/09/93,female
13913,19/05/93,female
4149,26/06/92,female
15608,02/06/95,female
12849,22/08/94,female
18312,03/08/92,male
3832,17/07/94,male
14907,02/04/94,male
10137,22/12/92,female
3176,11/01/89,male
16734,25/10/91,female
15366,11/08/93,male
17760,16/04/94,male
21340,31/12/92,male
10542,20/07/86,male
15102,21/04/01,male
4231,22/03/91,male
9957,19/01/92,male
591,24/04/90,female
14396,31/10/95,female
5833,24/11/86,male
4706,12/12/89,male
1803,29/10/92,male
15028,01/04/92,male
8890,25/08/94,female
5209,19/07/92,male
6174,29/01/93,male
9217,07/02/90,female
13885,16/09/91,female
21208,30/11/92,male
625,31/10/90,male
12848,01/03/91,female
12006,29/01/92,male
6552,14/11/96,female
3673,13/11/89,male
14117,18/11/95,female
18904,14/06/95,female
14283,22/12/92,female
17031,14/04/91,male
19377,31/10/88,male
17020,22/04/97,female
5818,28/08/88,male
1826,16/03/88,female
3651,13/12/93,male
20784,28/03/93,female
5026,02/04/94,male
5317,04/05/94,female
12562,09/05/96,female
1824,24/04/97,female
12379,26/03/93,female
17385,25/12/91,male
18406,06/09/87,female
6493,06/06/95,female
17200,31/05/98,female
14374,14/04/92,male
9032,18/12/93,male
21000,17/09/91,male
13337,10/10/93,female
2243,19/02/96,male
8942,28/07/94,female
14079,28/06/90,female
13943,10/12/91,female
12217,05/05/95,male
14866,20/04/90,female
14768,24/08/96,female
15632,26/02/94,male
9021,23/02/92,female
7760,04/06/96,male
11212,16/12/95,female
7034,23/08/92,female
1556,27/11/92,female
12806,16/05/93,male
19262,27/03/94,male
12526,15/09/95,female
7080,30/10/94,female
5351,11/05/84,male
11752,27/05/94,male
13932,25/07/88,male
19112,18/04/94,male
4449,12/12/88,female
2015,24/04/89,male
18987,15/06/91,male
8614,11/06/94,female
9634,16/06/96,female
20897,16/01/90,male
16985,15/03/96,female
8755,05/03/96,male
20680,08/07/88,male
6787,07/09/88,male
10139,01/08/92,female
6640,12/05/93,male
8115,04/07/94,male
19085,22/09/91,female
6601,05/01/94,male
686,30/10/96,female
10928,11/10/94,male
3875,02/01/92,female
3421,14/01/97,female
18092,15/05/95,male
17500,08/05/92,male
8267,23/01/88,male
15364,14/03/92,male
16670,06/08/92,male
20039,24/05/87,male
19663,06/08/95,female
1245,10/09/94,male
17203,19/05/90,male
7241,27/09/89,female
5807,08/06/91,female
14136,10/11/99,female
8889,30/08/90,male
3180,10/11/90,male
18517,23/07/92,male
18023,11/11/90,male
15856,31/10/88,female
